data,LOCAL,BAIRRO,ESPECIE,cirurgia_realizada
2024-03-11,antares,santa cruz,felino_m,sim
2024-03-11,antares,santa cruz,felino_m,sim
2024-03-11,antares,santa cruz,felino_f,sim
2024-03-11,antares,santa cruz,felino_f,sim
2024-03-11,antares,santa cruz,felino_f,sim
2024-03-11,antares,santa cruz,canino_m,sim
2024-03-12,antares,santa cruz,felino_f,nao
2024-03-12,antares,santa cruz,felino_m,nao
2024-03-12,antares,santa cruz,felino_m,nao
2024-03-12,antares,santa cruz,canino_m,nao
2024-03-12,antares,santa cruz,canino_f,nao
2024-03-12,antares,santa cruz,canino_f,nao
2024-03-12,antares,santa cruz,canino_f,nao
2024-03-12,antares,santa cruz,canino_f,sim
2024-03-12,antares,santa cruz,canino_f,sim
2024-03-12,antares,santa cruz,canino_m,sim
2024-03-12,antares,santa cruz,felino_m,sim
2024-03-12,antares,santa cruz,canino_m,sim
2024-03-12,antares,santa cruz,felino_f,sim
2024-03-12,antares,santa cruz,canino_m,sim
2024-03-12,antares,santa cruz,felino_m,sim
2024-03-12,antares,santa cruz,felino_m,sim
2024-03-12,antares,santa cruz,canino_f,nao
2024-03-13,antares,santa cruz,felino_m,nao
2024-03-13,antares,santa cruz,canino_f,nao
2024-03-13,antares,santa cruz,canino_m,nao
2024-03-13,antares,santa cruz,felino_m,nao
2024-03-13,antares,santa cruz,canino_m,nao
2024-03-13,antares,santa cruz,canino_f,nao
2024-03-13,antares,santa cruz,canino_f,nao
2024-03-13,antares,santa cruz,canino_f,sim
2024-03-13,antares,santa cruz,canino_m,sim
2024-03-13,antares,santa cruz,felino_f,sim
2024-03-13,antares,santa cruz,felino_m,sim
2024-03-13,antares,santa cruz,canino_m,sim
2024-03-13,antares,santa cruz,felino_f,sim
2024-03-14,antares,santa cruz,canino_m,nao
2024-03-14,antares,santa cruz,felino_f,nao
2024-03-14,antares,santa cruz,canino_m,nao
2024-03-14,antares,santa cruz,canino_m,nao
2024-03-14,antares,santa cruz,canino_m,nao
2024-03-14,antares,santa cruz,felino_f,nao
2024-03-14,antares,santa cruz,felino_f,nao
2024-03-14,antares,santa cruz,felino_f,nao
2024-03-14,antares,santa cruz,felino_f,nao
2024-03-14,antares,santa cruz,canino_f,sim
2024-03-14,antares,santa cruz,canino_f,sim
2024-03-14,antares,santa cruz,canino_f,sim
2024-03-14,piedade,santa cruz,canino_m,sim
2024-03-14,antares,santa cruz,canino_m,nao
2024-03-14,antares,santa cruz,canino_f,sim
2024-03-14,antares,santa cruz,canino_f,sim
2024-03-14,antares,santa cruz,felino_m,sim
2024-03-15,antares,santa cruz,felino_m,nao
2024-03-15,antares,santa cruz,felino_f,nao
2024-03-15,antares,santa cruz,canino_f,sim
2024-03-15,antares,santa cruz,canino_f,nao
2024-03-15,antares,santa cruz,canino_f,nao
2024-03-15,antares,santa cruz,felino_f,sim
2024-03-15,antares,santa cruz,felino_m,sim
2024-03-15,antares,santa cruz,felino_f,sim
2024-03-15,antares,santa cruz,felino_f,sim
2024-03-15,antares,santa cruz,felino_f,sim
2024-03-15,antares,santa cruz,felino_m,sim
2024-03-15,piedade,santa cruz,felino_f,sim
2024-03-15,antares,santa cruz,canino_m,nao
2024-03-15,antares,santa cruz,canino_m,nao
2024-03-15,antares,santa cruz,canino_m,nao
2024-03-18,antares,santa cruz,canino_f,nao
2024-03-18,antares,santa cruz,felino_f,nao
2024-03-18,antares,santa cruz,canino_f,nao
2024-03-18,antares,santa cruz,felino_m,nao
2024-03-18,antares,santa cruz,felino_f,sim
2024-03-18,antares,santa cruz,canino_f,sim
2024-03-18,antares,santa cruz,felino_f,sim
2024-03-18,antares,santa cruz,canino_m,sim
2024-03-18,antares,santa cruz,canino_m,sim
2024-03-18,antares,santa cruz,canino_f,sim
2024-03-18,antares,santa cruz,canino_m,sim
2024-03-18,antares,santa cruz,felino_m,sim
2024-03-18,antares,santa cruz,canino_m,sim
2024-03-18,antares,santa cruz,felino_f,sim
