,data,LOCAL,BAIRRO,ESPECIE,cirurgia_realizada,count
260,2024-03-25,guadalupe,guadalupe,felino_m,sim,1.0
261,2024-03-25,guadalupe,guadalupe,felino_f,sim,0.8
262,2024-03-25,guadalupe,guadalupe,felino_m,nao,0.6
263,2024-03-25,guadalupe,guadalupe,canino_f,sim,0.6
264,2024-03-25,guadalupe,guadalupe,canino_m,sim,0.4
265,2024-03-25,guadalupe,guadalupe,canino_m,nao,0.4
266,2024-03-25,guadalupe,ricardo de albuquerque,canino_f,nao,0.2
267,2024-03-25,guadalupe,guadalupe,felino_f,nao,0.2
268,2024-03-26,guadalupe,guadalupe,felino_m,sim,1.0
269,2024-03-26,guadalupe,barros filho,felino_f,sim,0.6
270,2024-03-26,guadalupe,marechal hermes,felino_f,sim,0.4
271,2024-03-26,guadalupe,marechal hermes,felino_m,nao,0.4
272,2024-03-26,guadalupe,barros filho,canino_m,sim,0.4
273,2024-03-26,guadalupe,guadalupe,canino_f,nao,0.4
274,2024-03-26,guadalupe,guadalupe,canino_m,sim,0.4
275,2024-03-26,guadalupe,guadalupe,felino_m,nao,0.2
276,2024-03-26,guadalupe,guadalupe,felino_f,nao,0.2
277,2024-03-26,guadalupe,guadalupe,canino_f,sim,0.2
278,2024-03-26,guadalupe,barros filho,canino_f,nao,0.2
279,2024-03-27,guadalupe,pavuna,felino_m,sim,0.8
280,2024-03-27,guadalupe,guadalupe,felino_f,sim,0.6
281,2024-03-27,guadalupe,ricardo de albuquerque,canino_f,sim,0.6
282,2024-03-27,guadalupe,guadalupe,felino_m,sim,0.4
283,2024-03-27,guadalupe,guadalupe,canino_m,sim,0.2
284,2024-03-27,guadalupe,guadalupe,canino_f,sim,0.2
285,2024-03-27,guadalupe,barros filho,canino_f,sim,0.2
286,2024-03-27,guadalupe,anchieta,felino_f,sim,0.2
287,2024-03-27,guadalupe,anchieta,canino_m,nao,0.2
288,2024-03-27,guadalupe,marechal hermes,felino_f,nao,0.2
289,2024-03-27,guadalupe,ricardo de albuquerque,canino_m,nao,0.2
290,2024-03-28,guadalupe,guadalupe,canino_m,nao,0.6
291,2024-03-28,guadalupe,guadalupe,felino_m,sim,0.6
292,2024-03-28,guadalupe,deodoro,felino_f,nao,0.4
293,2024-03-28,guadalupe,realengo,felino_m,sim,0.4
294,2024-03-28,guadalupe,ricardo de albuquerque,felino_m,sim,0.4
295,2024-03-28,guadalupe,anchieta,canino_f,sim,0.2
296,2024-03-28,guadalupe,ricardo de albuquerque,felino_f,nao,0.2
297,2024-03-28,guadalupe,guadalupe,felino_m,nao,0.2
298,2024-03-28,guadalupe,guadalupe,felino_f,sim,0.2
299,2024-03-28,guadalupe,guadalupe,canino_m,sim,0.2
300,2024-03-28,guadalupe,guadalupe,canino_f,sim,0.2
301,2024-03-28,guadalupe,guadalupe,canino_f,nao,0.2
302,2024-03-28,guadalupe,costa barros,canino_f,nao,0.2
303,2024-04-01,guadalupe,ricardo de albuquerque,felino_m,sim,0.6
304,2024-04-01,guadalupe,guadalupe,canino_f,nao,0.4
305,2024-04-01,guadalupe,guadalupe,felino_m,nao,0.4
306,2024-04-01,guadalupe,guadalupe,felino_f,nao,0.4
307,2024-04-01,guadalupe,guadalupe,felino_m,sim,0.4
308,2024-04-01,guadalupe,ricardo de albuquerque,canino_m,sim,0.2
309,2024-04-01,guadalupe,marechal hermes,felino_f,sim,0.2
310,2024-04-01,guadalupe,guadalupe,felino_f,sim,0.2
311,2024-04-01,guadalupe,guadalupe,canino_m,sim,0.2
312,2024-04-01,guadalupe,guadalupe,canino_m,nao,0.2
313,2024-04-01,guadalupe,costa barros,canino_m,sim,0.2
314,2024-04-01,guadalupe,costa barros,canino_f,sim,0.2
315,2024-04-01,guadalupe,anchieta,felino_f,nao,0.2
316,2024-04-01,guadalupe,anchieta,canino_f,sim,0.2
317,2024-04-02,guadalupe,guadalupe,canino_f,sim,0.6
318,2024-04-02,guadalupe,guadalupe,felino_f,sim,0.6
319,2024-04-02,guadalupe,guadalupe,felino_m,nao,0.6
320,2024-04-02,guadalupe,guadalupe,canino_f,nao,0.4
321,2024-04-02,guadalupe,guadalupe,canino_m,nao,0.4
322,2024-04-02,guadalupe,guadalupe,felino_m,sim,0.4
323,2024-04-02,guadalupe,guadalupe,felino_f,nao,0.2
324,2024-04-02,guadalupe,guadalupe,canino_m,sim,0.2
325,2024-04-02,guadalupe,anchieta,felino_m,sim,0.2
326,2024-04-02,guadalupe,anchieta,felino_m,nao,0.2
327,2024-04-02,guadalupe,pavuna,felino_m,nao,0.2
328,2024-04-02,guadalupe,ricardo de albuquerque,canino_m,nao,0.2
329,2024-04-02,guadalupe,ricardo de albuquerque,felino_m,sim,0.2
330,2024-04-03,guadalupe,guadalupe,felino_m,nao,0.8
331,2024-04-03,guadalupe,guadalupe,canino_m,sim,0.6
332,2024-04-03,guadalupe,guadalupe,canino_f,sim,0.4
333,2024-04-03,guadalupe,guadalupe,felino_f,nao,0.4
334,2024-04-03,guadalupe,guadalupe,felino_f,sim,0.4
335,2024-04-03,guadalupe,guadalupe,felino_m,sim,0.4
336,2024-04-03,guadalupe,anchieta,felino_m,nao,0.2
337,2024-04-03,guadalupe,ricardo de albuquerque,felino_m,sim,0.2
338,2024-04-03,guadalupe,ricardo de albuquerque,canino_f,nao,0.2
339,2024-04-03,guadalupe,honorio gurgel,felino_f,sim,0.2
340,2024-04-03,guadalupe,guadalupe,canino_m,nao,0.2
341,2024-04-03,guadalupe,guadalupe,canino_f,nao,0.2
342,2024-04-03,guadalupe,deodoro,felino_m,nao,0.2
343,2024-04-03,guadalupe,costa barros,canino_m,nao,0.2
344,2024-04-04,guadalupe,guadalupe,canino_f,nao,0.8
345,2024-04-04,guadalupe,ricardo de albuquerque,felino_f,sim,0.4
346,2024-04-04,guadalupe,ricardo de albuquerque,felino_m,nao,0.4
347,2024-04-04,guadalupe,guadalupe,felino_m,sim,0.4
348,2024-04-04,guadalupe,guadalupe,canino_f,sim,0.4
349,2024-04-04,guadalupe,guadalupe,canino_m,nao,0.4
350,2024-04-04,guadalupe,guadalupe,felino_m,nao,0.4
351,2024-04-04,guadalupe,ricardo de albuquerque,felino_f,nao,0.2
352,2024-04-04,guadalupe,realengo,canino_m,nao,0.2
353,2024-04-04,guadalupe,guadalupe,canino_m,sim,0.2
354,2024-04-04,guadalupe,barros filho,felino_m,sim,0.2
355,2024-04-04,guadalupe,anchieta,felino_f,nao,0.2
356,2024-04-05,guadalupe,guadalupe,felino_m,sim,1.2
357,2024-04-05,guadalupe,guadalupe,canino_f,sim,0.6
358,2024-04-05,guadalupe,guadalupe,felino_f,sim,0.6
359,2024-04-05,guadalupe,guadalupe,felino_f,nao,0.4
360,2024-04-05,guadalupe,ricardo de albuquerque,felino_m,nao,0.2
361,2024-04-05,guadalupe,ricardo de albuquerque,canino_m,nao,0.2
362,2024-04-05,guadalupe,guadalupe,felino_m,nao,0.2
363,2024-04-05,guadalupe,guadalupe,canino_m,sim,0.2
364,2024-04-05,guadalupe,guadalupe,canino_f,nao,0.2
365,2024-04-05,guadalupe,anchieta,felino_m,sim,0.2
366,2024-04-05,guadalupe,anchieta,canino_m,sim,0.2
367,2024-04-05,guadalupe,anchieta,canino_m,nao,0.2
368,2024-04-08,guadalupe,guadalupe,felino_m,sim,0.8
369,2024-04-08,guadalupe,guadalupe,canino_f,nao,0.4
370,2024-04-08,guadalupe,guadalupe,canino_m,sim,0.4
371,2024-04-08,guadalupe,guadalupe,felino_f,nao,0.4
372,2024-04-08,guadalupe,guadalupe,felino_m,nao,0.4
373,2024-04-08,guadalupe,ricardo de albuquerque,felino_f,sim,0.4
374,2024-04-08,guadalupe,anchieta,canino_m,nao,0.2
375,2024-04-08,guadalupe,anchieta,felino_m,sim,0.2
376,2024-04-08,guadalupe,barros filho,felino_m,sim,0.2
377,2024-04-08,guadalupe,ricardo de albuquerque,canino_f,sim,0.2
378,2024-04-09,guadalupe,ricardo de albuquerque,felino_m,sim,0.4
379,2024-04-09,guadalupe,guadalupe,felino_m,sim,0.4
380,2024-04-09,guadalupe,guadalupe,felino_m,nao,0.4
381,2024-04-09,guadalupe,guadalupe,canino_f,nao,0.4
382,2024-04-09,guadalupe,guadalupe,felino_f,nao,0.4
383,2024-04-09,guadalupe,pavuna,canino_m,nao,0.2
384,2024-04-09,guadalupe,marechal hermes,felino_m,sim,0.2
385,2024-04-09,guadalupe,guadalupe,canino_m,nao,0.2
386,2024-04-09,guadalupe,guadalupe,canino_f,sim,0.2
387,2024-04-09,guadalupe,coelho neto,felino_m,sim,0.2
388,2024-04-09,guadalupe,coelho neto,felino_f,sim,0.2
389,2024-04-09,guadalupe,barros filho,felino_m,nao,0.2
390,2024-04-09,guadalupe,anchieta,felino_f,sim,0.2
391,2024-04-10,guadalupe,guadalupe,canino_f,sim,0.6
392,2024-04-10,guadalupe,guadalupe,felino_m,nao,0.6
393,2024-04-10,guadalupe,guadalupe,felino_m,sim,0.6
394,2024-04-10,guadalupe,guadalupe,canino_f,nao,0.4
395,2024-04-10,guadalupe,anchieta,felino_f,nao,0.4
396,2024-04-10,guadalupe,guadalupe,felino_f,nao,0.2
397,2024-04-10,guadalupe,ricardo de albuquerque,canino_m,sim,0.2
398,2024-04-10,guadalupe,pavuna,felino_m,sim,0.2
399,2024-04-10,guadalupe,honorio gurgel,felino_f,sim,0.2
400,2024-04-10,guadalupe,guadalupe,canino_m,sim,0.2
401,2024-04-10,guadalupe,guadalupe,canino_m,nao,0.2
402,2024-04-10,guadalupe,complexo do chapadao,canino_m,sim,0.2
403,2024-04-11,guadalupe,guadalupe,canino_m,sim,0.6
404,2024-04-11,guadalupe,guadalupe,felino_f,sim,0.4
405,2024-04-11,guadalupe,guadalupe,felino_f,nao,0.4
406,2024-04-11,guadalupe,ricardo de albuquerque,felino_f,sim,0.2
407,2024-04-11,guadalupe,ricardo de albuquerque,canino_f,sim,0.2
408,2024-04-11,guadalupe,ricardo de albuquerque,canino_f,nao,0.2
409,2024-04-11,guadalupe,guadalupe,felino_m,nao,0.2
410,2024-04-11,guadalupe,guadalupe,canino_m,nao,0.2
411,2024-04-11,guadalupe,guadalupe,canino_f,nao,0.2
412,2024-04-11,guadalupe,anchieta,canino_f,sim,0.2
413,2024-04-12,guadalupe,guadalupe,canino_f,sim,0.6
414,2024-04-12,guadalupe,guadalupe,felino_m,nao,0.2
415,2024-04-12,guadalupe,barros filho,felino_f,nao,0.2
416,2024-04-12,piedade,anchieta,canino_f,nao,0.2
417,2024-04-12,guadalupe,guadalupe,felino_f,sim,0.2
418,2024-04-12,guadalupe,guadalupe,felino_f,nao,0.2
419,2024-04-12,guadalupe,guadalupe,canino_m,nao,0.2
420,2024-04-12,guadalupe,guadalupe,canino_f,nao,0.2
421,2024-04-12,guadalupe,costa barros,felino_m,sim,0.2
422,2024-04-12,guadalupe,costa barros,canino_m,sim,0.2
423,2024-04-12,guadalupe,campo grande,felino_f,nao,0.2
424,2024-04-12,guadalupe,anchieta,canino_m,nao,0.2
425,2024-04-15,guadalupe,guadalupe,felino_f,sim,0.6
426,2024-04-15,guadalupe,ricardo de albuquerque,felino_f,sim,0.2
427,2024-04-15,guadalupe,pavuna,canino_m,sim,0.2
428,2024-04-15,guadalupe,pavuna,canino_f,sim,0.2
429,2024-04-15,guadalupe,parque anchieta,felino_m,nao,0.2
430,2024-04-15,guadalupe,guadalupe,felino_m,nao,0.2
431,2024-04-15,guadalupe,guadalupe,felino_f,nao,0.2
432,2024-04-15,guadalupe,guadalupe,canino_m,sim,0.2
433,2024-04-15,guadalupe,costa barros,canino_f,sim,0.2
434,2024-04-15,guadalupe,anchieta,canino_m,sim,0.2
435,2024-04-16,guadalupe,guadalupe,canino_f,nao,0.8
436,2024-04-16,guadalupe,guadalupe,canino_m,sim,0.6
437,2024-04-16,guadalupe,anchieta,felino_f,nao,0.4
438,2024-04-16,guadalupe,ricardo de albuquerque,felino_m,sim,0.2
439,2024-04-16,guadalupe,paciencia,canino_m,nao,0.2
440,2024-04-16,guadalupe,guadalupe,felino_f,sim,0.2
441,2024-04-16,guadalupe,guadalupe,felino_f,nao,0.2
442,2024-04-16,guadalupe,guadalupe,canino_f,sim,0.2
443,2024-04-17,guadalupe,anchieta,felino_m,sim,0.6
444,2024-04-17,guadalupe,guadalupe,canino_f,sim,0.4
445,2024-04-17,guadalupe,barros filho,felino_f,nao,0.4
446,2024-04-17,guadalupe,anchieta,felino_f,sim,0.2
447,2024-04-17,guadalupe,costa barros,canino_m,sim,0.2
448,2024-04-17,guadalupe,guadalupe,canino_f,nao,0.2
449,2024-04-17,guadalupe,guadalupe,canino_m,nao,0.2
450,2024-04-17,guadalupe,guadalupe,canino_m,sim,0.2
451,2024-04-17,guadalupe,ricardo de albuquerque,felino_f,sim,0.2
452,2024-04-17,guadalupe,ricardo de albuquerque,canino_m,nao,0.2
453,2024-04-17,guadalupe,ricardo de albuquerque,canino_f,sim,0.2
454,2024-04-17,guadalupe,guadalupe,felino_m,sim,0.2
455,2024-04-18,guadalupe,guadalupe,canino_f,sim,0.6
456,2024-04-18,guadalupe,ricardo de albuquerque,canino_f,nao,0.4
457,2024-04-18,guadalupe,guadalupe,felino_m,sim,0.4
458,2024-04-18,guadalupe,guadalupe,felino_m,nao,0.4
459,2024-04-18,guadalupe,guadalupe,felino_f,nao,0.4
460,2024-04-18,guadalupe,pavuna,felino_f,nao,0.2
461,2024-04-18,guadalupe,ricardo de albuquerque,felino_f,sim,0.2
462,2024-04-18,guadalupe,parque anchieta,felino_m,sim,0.2
463,2024-04-18,guadalupe,guadalupe,felino_f,sim,0.2
464,2024-04-18,guadalupe,guadalupe,canino_m,sim,0.2
465,2024-04-18,guadalupe,guadalupe,canino_f,nao,0.2
466,2024-04-18,guadalupe,barros filho,felino_f,sim,0.2
467,2024-04-18,guadalupe,barros filho,canino_m,sim,0.2
468,2024-04-18,guadalupe,anchieta,canino_m,nao,0.2
469,2024-04-19,guadalupe,guadalupe,felino_f,sim,0.8
470,2024-04-19,guadalupe,guadalupe,felino_m,nao,0.6
471,2024-04-19,guadalupe,barros filho,felino_m,sim,0.4
472,2024-04-19,guadalupe,guadalupe,canino_m,nao,0.4
473,2024-04-19,guadalupe,ricardo de albuquerque,felino_m,sim,0.2
474,2024-04-19,guadalupe,ricardo de albuquerque,canino_m,nao,0.2
475,2024-04-19,guadalupe,ricardo de albuquerque,canino_f,nao,0.2
476,2024-04-19,guadalupe,pavuna,felino_m,sim,0.2
477,2024-04-19,guadalupe,guadalupe,felino_m,sim,0.2
478,2024-04-19,guadalupe,guadalupe,felino_f,nao,0.2
479,2024-04-19,guadalupe,guadalupe,canino_m,sim,0.2
480,2024-04-19,guadalupe,guadalupe,canino_f,sim,0.2
481,2024-04-19,guadalupe,guadalupe,canino_f,nao,0.2
482,2024-04-19,guadalupe,anchieta,canino_f,sim,0.2
483,2024-04-22,guadalupe,guadalupe,felino_f,sim,0.6
484,2024-04-22,guadalupe,guadalupe,felino_f,nao,0.6
485,2024-04-22,guadalupe,guadalupe,canino_f,nao,0.6
486,2024-04-22,guadalupe,guadalupe,canino_m,nao,0.4
487,2024-04-22,guadalupe,guadalupe,felino_m,nao,0.4
488,2024-04-22,guadalupe,ricardo de albuquerque,canino_m,nao,0.4
489,2024-04-22,guadalupe,guadalupe,canino_m,sim,0.2
490,2024-04-22,guadalupe,guadalupe,canino_f,sim,0.2
491,2024-04-22,guadalupe,barros filho,canino_m,sim,0.2
492,2024-04-24,guadalupe,guadalupe,canino_f,nao,1.0
